configuration,category,queries,recall_at_1,recall_at_5,mrr,ndcg_at_5,primary_at_1,top_score_mean
C7,keyword,2,0.75,1.0,1.0,0.9619,1.0,
C7,morphology,3,1.0,1.0,1.0,1.0,1.0,
C7,numeric,2,0.25,1.0,0.6667,0.75,0.5,
C7,partial_match,2,0.375,0.875,1.0,0.8694,0.5,
C7,semantic,4,0.875,1.0,1.0,1.0,1.0,
C7,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C7,spacing,3,1.0,1.0,1.0,1.0,1.0,
C7,typo,2,1.0,1.0,1.0,1.0,1.0,
C7,year,3,1.0,1.0,1.0,1.0,1.0,
C7,no_answer,2,,,,,,0.817914
C8,department,2,1.0,1.0,1.0,1.0,1.0,
C8,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C8,keyword,2,0.75,1.0,1.0,0.9619,1.0,
C8,morphology,3,1.0,1.0,1.0,1.0,1.0,
C8,numeric,2,0.25,1.0,0.6667,0.75,0.5,
C8,partial_match,2,0.375,0.875,1.0,0.8694,0.5,
C8,semantic,4,0.875,1.0,1.0,1.0,1.0,
C8,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C8,spacing,3,1.0,1.0,1.0,1.0,1.0,
C8,typo,2,1.0,1.0,1.0,1.0,1.0,
C8,year,3,1.0,1.0,1.0,1.0,1.0,
C8,no_answer,2,,,,,,0.817914
C9,department,2,1.0,1.0,1.0,1.0,1.0,
C9,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C9,keyword,2,0.75,1.0,1.0,0.9619,1.0,
C9,morphology,3,1.0,1.0,1.0,1.0,1.0,
C9,numeric,2,0.75,1.0,1.0,1.0,1.0,
C9,partial_match,2,0.375,0.875,1.0,0.8597,0.5,
C9,semantic,4,0.375,1.0,0.6875,0.7654,0.5,
C9,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C9,spacing,3,1.0,1.0,1.0,1.0,1.0,
C9,typo,2,1.0,1.0,1.0,1.0,1.0,
